Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Shanghai,Asia,2021-11-21,14.942857142857141,8.288374119818597,9.382199140133608,12.548031590822086,12.743238985944636,12.841350426822787,14.710424841586054,22.533653043497758,25.092724233877178,1.06259538750235,0.2631377233762166,25.056317624382913
Singapore,Asia,2021-11-21,27.385714285714283,26.61683309027462,26.80391168465327,27.438411964326363,27.50820852702568,27.917451197094316,28.182312070932586,28.694900988505427,1.3466373152346827,0.6525931860029637,0.01639099904695727,1.3451952297536351
Busan,Asia,2021-11-21,13.942857142857141,5.980647397209301,8.86656432237859,10.951937276001372,11.459796666385586,12.358195728405558,15.460897590744963,19.18282094207351,47.706160924548605,0.9982589645761082,0.3982556338963196,32.23377976269594
Qingdao,Asia,2021-11-21,11.299999999999999,3.3209133008072693,5.292421536157154,6.783242816090396,7.506887104975746,8.950404256122425,12.189181291052648,13.370143570035156,86.02109069770479,0.9112702164035049,,83.75593801394325
Kuala,Asia,2021-11-21,28.17142857142857,26.393778796826147,26.938204606864915,27.331506911232083,27.424051541153712,27.739091702448714,28.030717118201903,28.442561531958994,1.8772545344866252,0.9384530064167077,0.02145442565745111,1.887516519372218
Yakarta,Asia,2021-11-21,28.957142857142856,27.585602753628503,28.021661180559835,28.65893601595625,28.6781058921377,28.721546869488563,29.329210900288242,29.655455783622596,1.1926165797446113,0.690983279646224,0.015866006673902654,1.1998043070849669
Beijing,Asia,2021-11-21,4.814285714285715,1.5874971484316156,2.9114576953155065,4.710582581739392,5.473125606133473,5.975228316917033,8.99100720067662,15.134006924027132,40.67983789205634,0.8992249269860522,,46.44371766814861
Tokyo,Asia,2021-11-21,13.214285714285714,8.65128815870817,10.779322057514154,12.087598495823077,12.811050706373909,13.625609757467215,15.353777967780434,19.33278928181473,21.32622734697145,0.7864968962637381,0.19999533186982052,18.655205565201523
Delhi,Asia,2021-11-21,18.014285714285712,15.620346651443562,18.21475715620726,20.22271295943764,20.602930041109737,20.958202488291366,22.49965029863515,29.8126235043808,13.46904626596478,1.6544010718373652,0.14650545093984427,13.328239042589932
Dubai,Asia,2021-11-21,26.75714285714286,22.333538546957325,24.672562631533907,26.22254619294291,26.766387523754837,27.141747469120816,29.059461334900313,30.721312675943057,4.604937805196629,0.9259381173265085,0.0638802501116887,4.721438891515959
Miami,America,2021-11-21,27.12857142857143,25.307980842092647,27.041980709843056,28.015215698183802,28.501340184542595,28.808317436694878,29.929333295045257,30.465000879330837,4.389008748660475,0.9540876148091009,0.05033333226396783,4.380817630783009
New york,America,2021-11-21,11.985714285714286,6.638143340940207,8.599996094624613,10.574123290675638,13.000750042527937,13.312520986387574,16.208587814344778,28.70424747406092,55.91386695023215,0.8748089936476838,0.4244492761182853,32.388000834490995
New orleans,America,2021-11-21,23.885714285714283,17.644370121769082,19.74429435725853,21.69058151616962,23.2563643212442,23.79532829896127,26.85891672382729,31.48334337186399,11.381689780147711,1.0051255632788865,0.14089956574026485,11.300669510413814
