Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Shanghai,Asia,2021-11-21,14.942857142857141,9.880138304692144,11.544320995500566,15.632273191125105,18.248524308455572,18.514910960811857,24.62536966270861,27.740327198402053,75.35847329476847,2.43002263039625,0.5483844142130639,46.99217514244242
Singapore,Asia,2021-11-21,27.385714285714283,26.1683041278994,26.92769889598004,27.39032271976851,27.80174431343321,27.970124168949425,28.80955262439311,29.047608382936257,1.1858726718695123,0.5698445499774697,0.01662224629502008,1.1728316343385745
Busan,Asia,2021-11-21,13.942857142857141,3.973644127278709,12.282026357035864,12.914869124848586,13.192577163145843,14.49016819912006,17.114647802235325,27.827312001996223,35.60095669328137,0.8072864993586911,0.30551534884452125,26.055356120144925
Qingdao,Asia,2021-11-21,11.299999999999999,4.152049017913235,4.665389089262941,10.482901892146215,11.012422851142588,16.08163452282693,21.186036710741526,32.01802981624846,214.8609801086058,1.1222692628880397,,67.65254221632125
Kuala,Asia,2021-11-21,28.17142857142857,26.454025560714122,26.902257088959047,27.481151692049522,27.733089822543526,27.783971171227876,28.431743817641568,28.961375980634084,1.7460181553516914,0.8698285230897196,0.020641928638329,1.7474303285649573
Yakarta,Asia,2021-11-21,28.957142857142856,27.521389794311343,27.95795863477542,28.311681440770574,28.77186292639466,29.032921332429947,29.5130155720978,29.98814454059508,1.391910825601984,0.8002997811950672,0.01613080754431414,1.3891097937662336
Beijing,Asia,2021-11-21,4.814285714285715,2.958473084901643,7.081198252745453,9.493437450825956,11.198924231675294,12.206061095286936,26.73375382316473,47.8174286440016,81.74649590098761,1.3593447272380648,,101.77909236902718
Tokyo,Asia,2021-11-21,13.214285714285714,9.366747978617699,10.99791058008026,14.608881715357462,15.008546463494243,15.645943732053617,19.159000864466933,20.43048430826418,25.387014496186485,0.8909685122250378,0.24185671146554377,20.496497281687475
Delhi,Asia,2021-11-21,18.014285714285712,13.639888642383827,18.652219518529634,22.864189431346286,23.34815904911828,26.965844485735865,28.150875310087077,33.731732652314584,23.26096217586634,2.5698146662254806,0.22823246975787925,21.236782902386643
Dubai,Asia,2021-11-21,26.75714285714286,23.844957983050197,25.920521784835703,27.979144468344415,28.209464839162678,28.312565646890214,33.292496547766845,35.9921171104806,7.5293847177816575,1.3865952522388703,0.07954709406093058,7.317826188738473
Miami,America,2021-11-21,27.12857142857143,25.59633383275566,27.35528976680834,28.708971069742688,28.87591330953562,28.986198580716096,31.1019444598434,32.827399633999946,4.512262318632158,0.9655757857924542,0.05404807702241978,4.401935944098071
New york,America,2021-11-21,11.985714285714286,6.670583283894568,9.3706146099475,13.788307497383778,14.595622209595941,14.971054673238818,18.010725078783317,21.176931150205398,74.33138834909853,1.0296735465548907,0.4469162777763521,34.840311794892294
New orleans,America,2021-11-21,23.885714285714283,18.958838661161366,22.393385851308317,24.991680913237822,26.270895384130633,26.71242393252228,27.65615775666777,35.76535126442325,11.43760824922676,0.9844143784610764,0.13910524584613976,10.946423012787783
Bahamas,America,2021-11-21,25.685714285714287,23.309962943693066,24.51017470465589,25.533990446598427,25.64916333310542,25.966158975102942,28.852670791991844,31.59384578675266,4.20467402059399,1.106172531122266,0.04949795210664056,4.109560516448052
Los Angeles,America,2021-11-21,20.62857142857143,16.936121858880295,18.40929997519163,20.418029613673387,20.700351714273136,21.741820357963316,24.887130424537386,26.227661376096524,11.193579965857525,1.0421352910756794,0.13923752595157624,11.59415026497907
Bogota,America,2021-11-21,13.957142857142857,12.957674744500633,12.969204131070182,13.335164452342145,13.834001790948715,14.1570380342836,14.313060008793139,14.88164662063264,3.488861254244086,1.1580225150197774,0.04063339461129306,3.525315284067706
Calgary,America,2021-11-21,4.8999999999999995,-13.251536340211066,4.288453381418115,4.869228871061829,11.590098412341991,12.537379727434278,13.613350636059725,18.182072405590397,1506.3588876777087,1.4921452044937202,,119.24187591200909
Vancouver,America,2021-11-21,5.25,3.2150125918518637,6.358950191336197,8.492833252511616,9.46157667470051,9.88433351216749,13.165632693305445,19.611193349158757,101.09254773344405,1.478771441531541,,47.88879883580766
Sao Paulo,America,2021-11-21,19.5,16.877994608124364,18.651184651713404,19.982895698407233,21.167578135295273,21.444118841298717,22.78177602663814,24.533951231305164,6.9573415245131445,0.780077090576957,0.07498010534611727,6.817538991733785
Washington,America,2021-11-21,13.799999999999999,8.858619296533632,14.996185420798241,16.075472176987272,18.084504203826143,22.770716881768312,23.394872781658282,23.63302366479282,40.179837955590166,1.0803826305043212,0.36663908866338857,28.51920246492198
Hamburg,Europe,2021-11-21,8.028571428571428,2.8911324885084966,6.030036455238849,7.6857753930148895,8.840213975790384,9.841181090588007,11.472430390903432,14.528288456458245,68.15929219851172,1.024783561993345,,42.47185550239024
Paris,Europe,2021-11-21,8.042857142857143,6.035695573815225,7.587609066308285,10.232871391954216,10.508430469473879,13.753682471172858,16.112586870483838,18.7770431458752,42.23038549966915,1.253369996985593,0.3770497974366254,35.43976280807558
Madrid,Europe,2021-11-21,9.157142857142857,9.201497220725553,10.479577672064025,12.650403366939996,13.354127524233478,14.810759774096043,17.929604862925945,18.285977306534612,32.01063276231957,1.1197478053414622,0.29330226356895167,27.992620932060632
Roma,Europe,2021-11-21,12.971428571428572,10.566686124995273,11.483573070705425,13.929014488982688,14.2048829075382,17.305055746228913,22.191109207626575,24.500711311231395,27.597308556915962,1.304127681267342,0.2565216969957479,22.86418132649586
Reykjavic,Europe,2021-11-21,1.9857142857142858,-1.0250612535383115,1.6632686424050624,3.542187035597599,4.5709617562753255,5.037395087048715,8.532605760511148,9.97407309164046,857.6414326856662,1.3607683011229434,,103.26017317353427
Dublin,Europe,2021-11-21,9.200000000000001,5.132651938133703,7.109677929042947,8.325122233478767,9.116064878388617,10.699676775013392,13.307864868006556,17.91559891331903,24.462432725627256,0.9109513258482699,0.25785989036074697,23.259694527968534
Sydney,Oceania,2021-11-21,18.385714285714283,14.795676078715243,18.36226340433149,18.911772196810237,20.000459182671243,20.250437783918677,22.207193260914085,24.406972894120244,5.117583465772755,0.7253386799373702,0.060257491412952335,5.128948621412729
Cape Town,Africa,2021-11-21,18.771428571428572,13.472590077079309,15.196934587805947,16.971654008941936,18.088058273241924,19.25300621845153,21.956620016284624,23.6658834396448,8.637974429898826,1.4832168501152034,0.10085089288566611,9.098222627908731
